time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577837007.29979801,0.02506883,0.00373473,0.00000387,64583.00000000,0.01896151,0.000000,0.000000
1577837007.39963913,0.02503855,0.00305883,0.00000356,64570.00000000,0.01668141,0.000000,0.000000
1577837007.49947810,0.02504003,0.00382180,0.00000571,64597.00000000,0.02544848,0.000000,0.000000
1577837007.59931397,0.02502179,0.00325971,0.00000411,64628.00000000,0.01995157,0.000000,0.000000
1577837007.69993281,0.02501705,0.00358835,0.00000490,64645.00000000,0.02369579,0.000000,0.000000
1577837007.79977608,0.02498096,0.00295137,0.00000302,64644.00000000,0.01487459,0.000000,0.000000
1577837007.89962196,0.02497940,0.00288119,0.00000420,64648.00000000,0.02454260,0.000000,0.000000
1577837007.99946904,0.02494764,0.00328431,0.00000320,64662.00000000,0.01599148,0.000000,0.000000
1577837008.09929609,0.02495382,0.00436171,0.00000508,64680.00000000,0.02670146,0.000000,0.000000
1577837008.19992805,0.02495085,0.00379889,0.00000451,64684.00000000,0.02410845,0.000000,0.000000
1577837008.29977179,0.02491267,0.00296657,0.00000272,64733.00000000,0.01403021,0.000000,0.000000
1577837008.39961386,0.02488107,0.00314001,0.00000294,64733.00000000,0.01584457,0.000000,0.000000
1577837008.49944901,0.02484838,0.00313161,0.00000285,64761.00000000,0.01546569,0.000000,0.000000
1577837008.59928083,0.02485918,0.00549620,0.00000498,64783.00000000,0.02796925,0.000000,0.000000
1577837008.69992399,0.02483876,0.00404705,0.00000335,64853.00000000,0.01893829,0.000000,0.000000
1577837008.79976296,0.02482549,0.00386480,0.00000396,64887.00000000,0.02097578,0.000000,0.000000
1577837008.89960599,0.02481183,0.00381638,0.00000387,64913.00000000,0.02083674,0.000000,0.000000
1577837008.99946117,0.02482841,0.00472716,0.00000512,64980.00000000,0.02966990,0.000000,0.000000
1577837009.09930015,0.02482521,0.00392008,0.00000403,65020.00000000,0.02388781,0.000000,0.000000
1577837009.19992495,0.02481360,0.00474080,0.00000381,65069.00000000,0.02139936,0.000000,0.000000
1577837009.29976296,0.02478529,0.00341776,0.00000286,65129.00000000,0.01643397,0.000000,0.000000
1577837009.39960504,0.02478949,0.00382540,0.00000450,65183.00000000,0.02603487,0.000000,0.000000
1577837009.49944901,0.02479928,0.00441420,0.00000458,65242.00000000,0.02770534,0.000000,0.000000
1577837009.59928703,0.02481517,0.00577598,0.00000461,65354.00000000,0.02955042,0.000000,0.000000
1577837009.69992089,0.02483866,0.00507817,0.00000517,65489.00000000,0.03186296,0.000000,0.000000
1577837009.79976082,0.02483094,0.00528032,0.00000359,65665.00000000,0.02251464,0.000000,0.000000
1577837009.89959908,0.02483121,0.00600714,0.00000392,65864.00000000,0.02491168,0.000000,0.000000
1577837009.99944496,0.02481055,0.00473725,0.00000281,66050.00000000,0.01857213,0.000000,0.000000
1577837010.09928083,0.02482166,0.00581002,0.00000450,66165.00000000,0.02818833,0.000000,0.000000
1577837010.19992089,0.02483427,0.00556304,0.00000434,66329.00000000,0.02866797,0.000000,0.000000
1577837010.29976201,0.02483333,0.00562414,0.00000322,66521.00000000,0.02454496,0.000000,0.000000
1577837010.39960194,0.02484814,0.00868186,0.00000382,66640.00000000,0.02938187,0.000000,0.000000
1577837010.49945712,0.02484079,0.00549373,0.00000316,64917.00000000,0.02258232,0.000000,0.000000
1577837010.59929609,0.02485733,0.00653315,0.00000402,65157.00000000,0.02995352,0.000000,0.000000
1577837010.69991088,0.02487307,0.00651200,0.00000394,65486.00000000,0.02973610,0.000000,0.000000
1577837010.79974985,0.02493633,0.00833153,0.00000483,65723.00000000,0.04454644,0.000000,0.000000
1577837010.89957714,0.02493241,0.00675589,0.00000316,65931.00000000,0.02371235,0.000000,0.000000
1577837010.99941611,0.02493073,0.00720474,0.00000314,66286.00000000,0.02440917,0.000000,0.000000
1577837011.09965706,0.02494311,0.00725131,0.00000362,66475.00000000,0.02881706,0.000000,0.000000
1577837011.19949007,0.02501652,0.00719347,0.00000618,66701.00000000,0.04806611,0.000000,0.000000
1577837011.29933596,0.02501453,0.00720092,0.00000302,67019.00000000,0.02438727,0.000000,0.000000
1577837011.39998484,0.02502924,0.00803349,0.00000389,67120.00000000,0.02968008,0.000000,0.000000
1577837011.49982691,0.02505459,0.00753946,0.00000443,67287.00000000,0.03308981,0.000000,0.000000
1577837011.59965014,0.02506075,0.00581156,0.00000367,67372.00000000,0.02702009,0.000000,0.000000
1577837011.69949102,0.02506669,0.00556295,0.00000366,67551.00000000,0.02696161,0.000000,0.000000
1577837011.79932594,0.02509521,0.00665878,0.00000462,67729.00000000,0.03422030,0.000000,0.000000
1577837011.89995813,0.02511230,0.00605773,0.00000422,67867.00000000,0.03059839,0.000000,0.000000
1577837011.99979806,0.02510032,0.00518033,0.00000317,67880.00000000,0.02124162,0.000000,0.000000
1577837012.09962916,0.02514331,0.00590991,0.00000602,67905.00000000,0.03903181,0.000000,0.000000
1577837012.19945908,0.02514980,0.00509126,0.00000394,67927.00000000,0.02725166,0.000000,0.000000
1577837012.29930115,0.02514440,0.00531986,0.00000383,68034.00000000,0.02338915,0.000000,0.000000
1577837012.39995193,0.02516243,0.00544327,0.00000502,68022.00000000,0.03103840,0.000000,0.000000
1577837012.49979281,0.02517811,0.00510556,0.00000516,68058.00000000,0.03030619,0.000000,0.000000
1577837012.59964013,0.02515882,0.00429618,0.00000318,68130.00000000,0.01883278,0.000000,0.000000
1577837012.69948912,0.02514820,0.00450753,0.00000386,68170.00000000,0.02165515,0.000000,0.000000
1577837012.79933310,0.02514935,0.00468247,0.00000445,68229.00000000,0.02552825,0.000000,0.000000
1577837012.89997697,0.02516390,0.00433471,0.00000566,68212.00000000,0.02997926,0.000000,0.000000
1577837012.99980998,0.02518175,0.00509672,0.00000587,68256.00000000,0.03110651,0.000000,0.000000
1577837013.09965992,0.02519144,0.00408462,0.00000546,68287.00000000,0.02841897,0.000000,0.000000
1577837013.19948912,0.02516448,0.00321000,0.00000330,68332.00000000,0.01616038,0.000000,0.000000
1577837013.29934216,0.02514447,0.00277702,0.00000378,68366.00000000,0.01843965,0.000000,0.000000
1577837013.39998102,0.02514128,0.00367802,0.00000528,68379.00000000,0.02407089,0.000000,0.000000
1577837013.49982691,0.02511019,0.00260413,0.00000327,68397.00000000,0.01463332,0.000000,0.000000
1577837013.59966421,0.02509723,0.00309900,0.00000501,68407.00000000,0.02071611,0.000000,0.000000
1577837013.69951892,0.02508381,0.00269946,0.00000578,68421.00000000,0.02053439,0.000000,0.000000
1577837013.79937577,0.02507246,0.00281915,0.00000506,68426.00000000,0.02121307,0.000000,0.000000
